task,integration_method,homology_method,NMI_cluster/label,ARI_cluster/label,cLISI,silhouette,type,acc_loss_avg,acc_loss_avg_scaled,cLISI_scaled,silhouette_scaled,NMI_scaled,ARI_scaled,bio_score
hs_mf_mm_xl_dr,seuratRPCA,stronger homology,0.6904450889934929,0.5163486050741963,0.9992872550660172,0.5433584712445736,seuratRPCA stronger homology,0.04120069195093546,0.9819447490241777,0.9980977947636673,0.9887337352386492,0.9446825193154319,0.6942450910954902,0.9668437562400043
hs_mf_mm,seuratRPCA,stronger homology,0.7866130116119423,0.6854439706265005,1,0.6409757435321808,seuratRPCA stronger homology,0.004869272793670905,0.9910466006490468,1,0.8986254653467977,0.8475258007761441,0.7315217935654054,0.966720933503655
hs_mf_mm_xl,harmony,stronger homology,0.7501578590361996,0.6780655826393843,0.9994223985928692,0.561645157635212,harmony stronger homology,0.014336452311098933,0.9890317201888529,0.9936103753800553,0.7718965586209818,0.8783637894739365,0.8393853535398077,0.9653881800018215
hs_mf_mm_xl,scVI,one2one only,0.7513805482501654,0.724247709821477,0.9936997972218672,0.5319177657365799,scVI one2one only,0.009429272833618477,0.9971564186001534,0.8926086577508069,0.6081433448550483,0.8811733737096002,0.917486030007624,0.9626957051962767
hs_mf,scVI,stronger homology,0.8364864544480424,0.8366367037731658,0.9985557779358072,0.5729154348373413,scVI stronger homology,0.0046786189524599675,0.992590858566595,0.9686253807255244,0.484648561825628,0.940160687966174,0.9725538852293693,0.962372112640611
hs_mf_mm_xl,harmony,higher expression,0.759418111746029,0.696771044932713,0.9994988522412752,0.554014902561903,harmony higher expression,0.017114338158492524,0.9844324417571864,0.994959752928378,0.7298653305075712,0.8996426719034392,0.8710190037827241,0.9623202913618548
hs_mf,harmony,stronger homology,0.8133308574553492,0.634884483655164,1,0.6318578124046326,harmony stronger homology,0.0011749326578104902,1,1,0.7714966563281487,0.868788216584938,0.6011982997687404,0.9620741586340913
hs_mf_mm_xl_dr,seuratCCA,one2one only,0.7017078292464961,0.6469559201503471,0.998118752302284,0.5387351736426353,seuratCCA one2one only,0.05408398846123351,0.962324236132116,0.9863266165667216,0.9473578304721668,0.9681646171969599,0.939101516316521,0.9619069179333113
hs_mf_mm_xl_dr,harmony,higher expression,0.7064236942339558,0.6514856303827699,0.9972394797411088,0.5249233320355415,harmony higher expression,0.04966706312402938,0.9690509570806416,0.9774690645587059,0.823749641644939,0.9779968960868216,0.9475936031047032,0.9615812259342718
hs_mf_mm_xl_dr,seuratCCA,higher expression,0.7073057442469678,0.6442544435707814,0.9980525952045572,0.5356622785329819,seuratCCA higher expression,0.05358155039679648,0.9630894201448312,0.9856601680049347,0.9198571531718113,0.9798359143254272,0.934036915626237,0.9614410436722854
hs_mf_mm_xl_dr,seuratCCA,stronger homology,0.7169770632465647,0.6368468779302354,0.9982584470753584,0.5392878577113152,seuratCCA stronger homology,0.055513923605214954,0.9601465278953404,0.987733863616602,0.9523040410258765,1,0.9201495614510388,0.9611265956209482
hs_mf,harmony,higher expression,0.8085507794779904,0.63353936442202885,1,0.637271374464035,harmony higher expression,0.0024319546490749744,0.9973418128979179,1,0.7978422166075574,0.8540545874434922,0.5987224036420802,0.9604044107029909
hs_mf_mm_xl_dr,seuratRPCA,one2one only,0.6614969688086411,0.5083623293228305,0.9993470398396808,0.5399135947227478,seuratRPCA one2one only,0.04378716387322642,0.9780057023946368,0.9987000502705426,0.9579040341959131,0.8843275278660228,0.679272798539222,0.9584147824592945
